air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
Fibonacci-2^11,L1,Fp6,SHA3-256,54,2048,32,596,4.95,482.4,,1,fri
Fibonacci-2^12,L1,Fp6,SHA3-256,54,4096,32,1162,5.48,545.8,,1,fri
Fibonacci-2^13,L1,Fp6,SHA3-256,54,8192,32,2308,5.95,585.5,,1,fri
Fibonacci-2^14,L1,Fp6,SHA3-256,54,16384,32,4631,6.46,626.9,,1,fri
Fibonacci-2^15,L1,Fp6,SHA3-256,54,32768,32,9331,6.96,670.0,,1,fri
Fibonacci-2^16,L1,Fp6,SHA3-256,54,65536,32,18841,7.59,740.1,,1,fri
Fibonacci-2^17,L1,Fp6,SHA3-256,54,131072,32,37806,8.16,786.6,,1,fri
Fibonacci-2^18,L1,Fp6,SHA3-256,54,262144,32,76062,8.75,834.8,,1,fri
Fibonacci-2^19,L1,Fp6,SHA3-256,54,524288,32,152927,9.34,884.6,,1,fri
Fibonacci-2^20,L1,Fp6,SHA3-256,54,1048576,32,301241,10.05,961.5,,1,fri
Fibonacci-2^21,L1,Fp6,SHA3-256,54,2097152,32,614392,10.62,1014.7,,1,fri
PoseidonChain-2^11,L1,Fp6,SHA3-256,54,2048,32,967,4.95,482.4,,1,fri
PoseidonChain-2^12,L1,Fp6,SHA3-256,54,4096,32,1894,5.48,545.8,,1,fri
PoseidonChain-2^13,L1,Fp6,SHA3-256,54,8192,32,3801,5.97,585.5,,1,fri
PoseidonChain-2^14,L1,Fp6,SHA3-256,54,16384,32,7684,6.48,626.9,,1,fri
PoseidonChain-2^15,L1,Fp6,SHA3-256,54,32768,32,15512,7.00,670.0,,1,fri
PoseidonChain-2^16,L1,Fp6,SHA3-256,54,65536,32,31605,7.61,740.1,,1,fri
PoseidonChain-2^17,L1,Fp6,SHA3-256,54,131072,32,63832,8.22,786.6,,1,fri
PoseidonChain-2^18,L1,Fp6,SHA3-256,54,262144,32,128913,8.77,834.8,,1,fri
PoseidonChain-2^19,L1,Fp6,SHA3-256,54,524288,32,260731,9.45,884.6,,1,fri
PoseidonChain-2^20,L1,Fp6,SHA3-256,54,1048576,32,523854,10.04,961.5,,1,fri
RegisterMachine-2^11,L1,Fp6,SHA3-256,54,2048,32,657,4.97,482.4,,1,fri
RegisterMachine-2^12,L1,Fp6,SHA3-256,54,4096,32,1273,5.50,545.8,,1,fri
